START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,AVERAGE_STEP,DURATION,TYPE
1635956700000,1635957600000,9,2021-11-04 01:25:00,2021-11-04 01:40:00,0.0,1303.0,1303.0,15,WEARABLE
1635985200000,1635985860000,9,2021-11-04 09:20:00,2021-11-04 09:31:00,0.0,1015.0,1015.0,11,WEARABLE
1635986160000,1635986220000,9,2021-11-04 09:36:00,2021-11-04 09:37:00,0.0,14.0,14.0,1,WEARABLE
1635987480000,1635987600000,9,2021-11-04 09:58:00,2021-11-04 10:00:00,0.0,74.0,74.0,2,WEARABLE
1635987960000,1635988080000,9,2021-11-04 10:06:00,2021-11-04 10:08:00,0.0,80.0,80.0,2,WEARABLE
1635988740000,1635988980000,9,2021-11-04 10:19:00,2021-11-04 10:23:00,0.0,163.0,163.0,4,WEARABLE
1635989100000,1635989220000,9,2021-11-04 10:25:00,2021-11-04 10:27:00,0.0,84.0,84.0,2,WEARABLE
1635993960000,1635994080000,9,2021-11-04 11:46:00,2021-11-04 11:48:00,0.0,94.0,94.0,2,WEARABLE
1635994260000,1635994440000,9,2021-11-04 11:51:00,2021-11-04 11:54:00,0.0,70.0,70.0,3,WEARABLE
1635995520000,1635995580000,9,2021-11-04 12:12:00,2021-11-04 12:13:00,0.0,71.0,71.0,1,WEARABLE
1635995940000,1635996060000,9,2021-11-04 12:19:00,2021-11-04 12:21:00,0.0,31.0,31.0,2,WEARABLE
1635998520000,1635998580000,9,2021-11-04 13:02:00,2021-11-04 13:03:00,0.0,12.0,12.0,1,WEARABLE
1635999000000,1635999120000,9,2021-11-04 13:10:00,2021-11-04 13:12:00,0.0,51.0,51.0,2,WEARABLE
1635999360000,1635999480000,9,2021-11-04 13:16:00,2021-11-04 13:18:00,0.0,30.0,30.0,2,WEARABLE
1636000620000,1636000800000,9,2021-11-04 13:37:00,2021-11-04 13:40:00,0.0,121.0,121.0,3,WEARABLE
1636001460000,1636001580000,9,2021-11-04 13:51:00,2021-11-04 13:53:00,0.0,82.0,82.0,2,WEARABLE
1636001700000,1636001820000,9,2021-11-04 13:55:00,2021-11-04 13:57:00,0.0,62.0,62.0,2,WEARABLE
1636001880000,1636001940000,9,2021-11-04 13:58:00,2021-11-04 13:59:00,0.0,7.0,7.0,1,WEARABLE
1636005900000,1636005960000,9,2021-11-04 15:05:00,2021-11-04 15:06:00,0.0,48.0,48.0,1,WEARABLE
1636008360000,1636008480000,9,2021-11-04 15:46:00,2021-11-04 15:48:00,0.0,38.0,38.0,2,WEARABLE
1636009200000,1636009320000,9,2021-11-04 16:00:00,2021-11-04 16:02:00,0.0,27.0,27.0,2,WEARABLE
1636012440000,1636012500000,9,2021-11-04 16:54:00,2021-11-04 16:55:00,0.0,21.0,21.0,1,WEARABLE
1636012620000,1636012680000,9,2021-11-04 16:57:00,2021-11-04 16:58:00,0.0,20.0,20.0,1,WEARABLE
1636012740000,1636012860000,9,2021-11-04 16:59:00,2021-11-04 17:01:00,0.0,71.0,71.0,2,WEARABLE
1636013220000,1636013340000,9,2021-11-04 17:07:00,2021-11-04 17:09:00,0.0,81.0,81.0,2,WEARABLE
1636013460000,1636013520000,9,2021-11-04 17:11:00,2021-11-04 17:12:00,0.0,11.0,11.0,1,WEARABLE
1636017540000,1636017720000,9,2021-11-04 18:19:00,2021-11-04 18:22:00,0.0,102.0,102.0,3,WEARABLE
1636017780000,1636018380000,9,2021-11-04 18:23:00,2021-11-04 18:33:00,0.0,848.0,848.0,10,WEARABLE
1636018440000,1636018740000,9,2021-11-04 18:34:00,2021-11-04 18:39:00,0.0,174.0,174.0,5,WEARABLE
1636020480000,1636021020000,9,2021-11-04 19:08:00,2021-11-04 19:17:00,0.0,828.0,828.0,9,WEARABLE
1636021620000,1636021740000,9,2021-11-04 19:27:00,2021-11-04 19:29:00,0.0,66.0,66.0,2,WEARABLE
1636021800000,1636021980000,9,2021-11-04 19:30:00,2021-11-04 19:33:00,0.0,46.0,46.0,3,WEARABLE
1636022040000,1636022220000,9,2021-11-04 19:34:00,2021-11-04 19:37:00,0.0,71.0,71.0,3,WEARABLE
1636024680000,1636024860000,9,2021-11-04 20:18:00,2021-11-04 20:21:00,0.0,141.0,141.0,3,WEARABLE
1636027260000,1636027380000,9,2021-11-04 21:01:00,2021-11-04 21:03:00,0.0,91.0,91.0,2,WEARABLE
1636031340000,1636031520000,9,2021-11-04 22:09:00,2021-11-04 22:12:00,0.0,89.0,89.0,3,WEARABLE
1636032300000,1636032360000,9,2021-11-04 22:25:00,2021-11-04 22:26:00,0.0,7.0,7.0,1,WEARABLE
1636033740000,1636033800000,9,2021-11-04 22:49:00,2021-11-04 22:50:00,0.0,12.0,12.0,1,WEARABLE
1636033860000,1636033920000,9,2021-11-04 22:51:00,2021-11-04 22:52:00,0.0,14.0,14.0,1,WEARABLE
1636034160000,1636034280000,9,2021-11-04 22:56:00,2021-11-04 22:58:00,0.0,77.0,77.0,2,WEARABLE
1636034880000,1636034940000,9,2021-11-04 23:08:00,2021-11-04 23:09:00,0.0,16.0,16.0,1,WEARABLE
1636035000000,1636035060000,9,2021-11-04 23:10:00,2021-11-04 23:11:00,0.0,16.0,16.0,1,WEARABLE
1636036020000,1636036320000,9,2021-11-04 23:27:00,2021-11-04 23:32:00,0.0,257.0,257.0,5,WEARABLE
1636039560000,1636039620000,9,2021-11-05 00:26:00,2021-11-05 00:27:00,0.0,34.0,34.0,1,WEARABLE
1636042740000,1636042980000,9,2021-11-05 01:19:00,2021-11-05 01:23:00,0.0,113.0,113.0,4,WEARABLE
1636043100000,1636043460000,9,2021-11-05 01:25:00,2021-11-05 01:31:00,0.0,167.0,167.0,6,WEARABLE
1636044060000,1636044120000,9,2021-11-05 01:41:00,2021-11-05 01:42:00,0.0,29.0,29.0,1,WEARABLE
1636046640000,1636047360000,9,2021-11-05 02:24:00,2021-11-05 02:36:00,0.0,1040.0,1040.0,12,WEARABLE
1636071480000,1636072200000,9,2021-11-05 09:18:00,2021-11-05 09:30:00,0.0,1093.0,1093.0,12,WEARABLE
1636072500000,1636072620000,9,2021-11-05 09:35:00,2021-11-05 09:37:00,0.0,61.0,61.0,2,WEARABLE
1636073280000,1636073400000,9,2021-11-05 09:48:00,2021-11-05 09:50:00,0.0,101.0,101.0,2,WEARABLE
1636076760000,1636076880000,9,2021-11-05 10:46:00,2021-11-05 10:48:00,0.0,51.0,51.0,2,WEARABLE
1636077240000,1636077360000,9,2021-11-05 10:54:00,2021-11-05 10:56:00,0.0,74.0,74.0,2,WEARABLE
1636078620000,1636078680000,9,2021-11-05 11:17:00,2021-11-05 11:18:00,0.0,44.0,44.0,1,WEARABLE
1636080360000,1636080420000,9,2021-11-05 11:46:00,2021-11-05 11:47:00,0.0,40.0,40.0,1,WEARABLE
1636080480000,1636080540000,9,2021-11-05 11:48:00,2021-11-05 11:49:00,0.0,17.0,17.0,1,WEARABLE
1636080660000,1636080780000,9,2021-11-05 11:51:00,2021-11-05 11:53:00,0.0,25.0,25.0,2,WEARABLE
1636080840000,1636080900000,9,2021-11-05 11:54:00,2021-11-05 11:55:00,0.0,18.0,18.0,1,WEARABLE
1636080960000,1636081020000,9,2021-11-05 11:56:00,2021-11-05 11:57:00,0.0,43.0,43.0,1,WEARABLE
1636081080000,1636081140000,9,2021-11-05 11:58:00,2021-11-05 11:59:00,0.0,22.0,22.0,1,WEARABLE
1636081200000,1636081320000,9,2021-11-05 12:00:00,2021-11-05 12:02:00,0.0,27.0,27.0,2,WEARABLE
1636082400000,1636082520000,9,2021-11-05 12:20:00,2021-11-05 12:22:00,0.0,35.0,35.0,2,WEARABLE
