START,UTC,PHONE_STEP,WEARABLE_STEP
1650668400000,9,0.0,28.0
1650668460000,9,63.0,55.0
1650668520000,9,111.0,109.0
1650668580000,9,122.0,121.0
1650668640000,9,62.0,89.0
1650668700000,9,0.0,15.0
1650668760000,9,7.0,0.0
1650669360000,9,7.0,20.0
1650669420000,9,0.0,11.0
1650669600000,9,90.0,95.0
1650669660000,9,114.0,116.0
1650669720000,9,96.0,93.0
1650669780000,9,65.0,60.0
1650669840000,9,8.0,18.0
1650670020000,9,0.0,20.0
1650670320000,9,0.0,10.0
1650670860000,9,0.0,33.0
1650670920000,9,0.0,50.0
1650671040000,9,0.0,10.0
1650671100000,9,0.0,29.0
1650671160000,9,32.0,37.0
1650671220000,9,32.0,29.0
1650671280000,9,105.0,101.0
1650671340000,9,113.0,110.0
1650671400000,9,72.0,69.0
1650672420000,9,0.0,10.0
1650672480000,9,73.0,77.0
1650672540000,9,93.0,90.0
1650672600000,9,106.0,107.0
1650672660000,9,117.0,113.0
1650672720000,9,113.0,111.0
1650672780000,9,46.0,38.0
1650672840000,9,66.0,63.0
1650672900000,9,2.0,0.0
1650674100000,9,74.0,89.0
1650674160000,9,70.0,71.0
1650674220000,9,110.0,113.0
1650674280000,9,98.0,105.0
1650674340000,9,0.0,46.0
1650674400000,9,0.0,46.0
1650674460000,9,7.0,70.0
1650674520000,9,111.0,109.0
1650674580000,9,109.0,96.0
1650674640000,9,72.0,76.0
1650674700000,9,61.0,55.0
1650674760000,9,14.0,22.0
1650674820000,9,0.0,55.0
1650674880000,9,0.0,61.0
1650674940000,9,0.0,10.0
1650675000000,9,0.0,26.0
1650675060000,9,0.0,56.0
1650675120000,9,0.0,36.0
1650675840000,9,6.0,0.0
1650692580000,9,0.0,12.0
1650692640000,9,0.0,23.0
1650692760000,9,0.0,25.0
1650692940000,9,0.0,10.0
1650693180000,9,0.0,21.0
1650693300000,9,0.0,10.0
1650693360000,9,0.0,49.0
1650693420000,9,0.0,44.0
1650693480000,9,0.0,64.0
1650693540000,9,0.0,32.0
1650693600000,9,0.0,38.0
1650693660000,9,0.0,30.0
1650693720000,9,0.0,10.0
1650693780000,9,0.0,51.0
1650693840000,9,0.0,13.0
1650693960000,9,31.0,30.0
1650694020000,9,51.0,52.0
1650694080000,9,91.0,58.0
1650694140000,9,74.0,59.0
1650694200000,9,60.0,60.0
1650694260000,9,32.0,24.0
1650694320000,9,20.0,14.0
1650694380000,9,82.0,59.0
1650694440000,9,0.0,12.0
1650694500000,9,11.0,10.0
1650694620000,9,28.0,24.0
1650695940000,9,0.0,10.0
1650696060000,9,50.0,30.0
1650696120000,9,43.0,21.0
1650696180000,9,44.0,59.0
1650696240000,9,0.0,21.0
1650696300000,9,38.0,39.0
1650696360000,9,77.0,72.0
1650696420000,9,107.0,111.0
1650696480000,9,15.0,28.0
1650696540000,9,20.0,20.0
1650696600000,9,104.0,116.0
1650696660000,9,73.0,74.0
1650696780000,9,44.0,23.0
1650696840000,9,10.0,23.0
1650696900000,9,0.0,26.0
1650696960000,9,0.0,3.0
1650697500000,9,0.0,13.0
1650698040000,9,0.0,13.0
1650698100000,9,0.0,6.0
1650698220000,9,0.0,39.0
1650699420000,9,51.0,24.0
1650699660000,9,11.0,54.0
1650699720000,9,37.0,74.0
1650699840000,9,0.0,16.0
1650699900000,9,0.0,15.0
1650700320000,9,0.0,36.0
1650700920000,9,0.0,12.0
1650703920000,9,0.0,13.0
1650704040000,9,0.0,12.0
1650704280000,9,0.0,16.0
1650704760000,9,0.0,18.0
1650715080000,9,0.0,30.0
1650715140000,9,0.0,69.0
1650715200000,9,42.0,57.0
1650715260000,9,7.0,0.0
1650715320000,9,57.0,57.0
1650715440000,9,0.0,18.0
1650715500000,9,0.0,15.0
1650715920000,9,15.0,0.0
1650716580000,9,12.0,0.0
1650716760000,9,33.0,0.0
1650716820000,9,111.0,128.0
1650716880000,9,120.0,118.0
1650716940000,9,25.0,27.0
1650717000000,9,52.0,71.0
1650717060000,9,0.0,30.0
1650717120000,9,0.0,34.0
1650718140000,9,8.0,0.0
1650748140000,9,0.0,10.0
1650754140000,9,0.0,24.0
1650754200000,9,62.0,41.0
1650754260000,9,73.0,96.0
1650754320000,9,129.0,148.0
1650754380000,9,52.0,70.0
1650754440000,9,0.0,12.0
1650754500000,9,10.0,0.0
1650754860000,9,0.0,24.0
1650754980000,9,0.0,10.0
1650755700000,9,21.0,18.0
1650755760000,9,109.0,102.0
1650755820000,9,41.0,29.0
1650755880000,9,68.0,64.0
1650755940000,9,53.0,74.0
1650756000000,9,57.0,49.0
1650756060000,9,22.0,36.0
1650756120000,9,0.0,53.0
1650756180000,9,0.0,19.0
1650756240000,9,0.0,65.0
1650756300000,9,0.0,13.0
1650756360000,9,0.0,26.0
1650757080000,9,0.0,12.0
1650757380000,9,0.0,12.0
1650757860000,9,18.0,20.0
1650757920000,9,30.0,26.0
1650758040000,9,38.0,75.0
1650758100000,9,5.0,19.0
1650759060000,9,0.0,12.0
1650759120000,9,0.0,13.0
1650762060000,9,0.0,11.0
1650762420000,9,0.0,28.0
1650762720000,9,0.0,31.0
1650766920000,9,0.0,24.0
1650767580000,9,0.0,12.0
1650767820000,9,0.0,15.0
1650768600000,9,0.0,15.0
1650768840000,9,0.0,16.0
1650771180000,9,72.0,57.0
1650771300000,9,34.0,21.0
1650771360000,9,0.0,10.0
1650773520000,9,0.0,12.0
1650773580000,9,61.0,55.0
1650773640000,9,119.0,108.0
1650773700000,9,21.0,19.0
1650773760000,9,10.0,0.0
1650773820000,9,0.0,18.0
1650773880000,9,0.0,10.0
1650774240000,9,0.0,13.0
1650774300000,9,117.0,115.0
1650774360000,9,110.0,110.0
1650774420000,9,1.0,6.0
1650774480000,9,13.0,19.0
1650774660000,9,20.0,0.0
1650774720000,9,46.0,68.0
1650774780000,9,37.0,29.0
1650774840000,9,11.0,47.0
1650774900000,9,73.0,88.0
1650774960000,9,33.0,42.0
1650775260000,9,77.0,59.0
1650775320000,9,0.0,11.0
1650775440000,9,0.0,29.0
1650775500000,9,0.0,19.0
1650776100000,9,0.0,29.0
1650776160000,9,0.0,39.0
1650776460000,9,0.0,13.0
1650776760000,9,0.0,33.0
1650776940000,9,0.0,11.0
1650777480000,9,0.0,13.0
1650777600000,9,0.0,10.0
1650777660000,9,0.0,1.0
1650779040000,9,0.0,23.0
1650779220000,9,0.0,11.0
1650779280000,9,0.0,58.0
1650779340000,9,0.0,51.0
1650779400000,9,0.0,15.0
1650779520000,9,0.0,20.0
1650779820000,9,0.0,21.0
1650780300000,9,0.0,19.0
1650780600000,9,0.0,28.0
1650780660000,9,0.0,30.0
1650780960000,9,0.0,16.0
1650781260000,9,0.0,12.0
1650781380000,9,0.0,28.0
1650782580000,9,0.0,10.0
1650784320000,9,0.0,11.0
1650785100000,9,0.0,20.0
1650789360000,9,0.0,12.0
1650789420000,9,18.0,22.0
1650789480000,9,19.0,76.0
1650789540000,9,30.0,29.0
1650789600000,9,86.0,38.0
1650789720000,9,20.0,14.0
1650789780000,9,19.0,16.0
1650789840000,9,73.0,68.0
1650789900000,9,32.0,12.0
1650789960000,9,30.0,52.0
1650790020000,9,116.0,114.0
1650790080000,9,37.0,41.0
1650790140000,9,26.0,27.0
1650791880000,9,15.0,11.0
1650791940000,9,0.0,11.0
1650792180000,9,82.0,57.0
1650792240000,9,70.0,79.0
1650792300000,9,109.0,106.0
1650792360000,9,103.0,104.0
1650792420000,9,109.0,112.0
1650792480000,9,112.0,112.0
1650792540000,9,111.0,105.0
1650792600000,9,109.0,108.0
1650792660000,9,108.0,102.0
1650792720000,9,108.0,105.0
1650792780000,9,114.0,111.0
1650792840000,9,88.0,86.0
1650792900000,9,22.0,20.0
1650793080000,9,31.0,21.0
1650793140000,9,28.0,12.0
1650793200000,9,23.0,0.0
1650793260000,9,10.0,0.0
1650793320000,9,14.0,0.0
1650793380000,9,0.0,10.0
1650793680000,9,10.0,0.0
1650793800000,9,18.0,11.0
1650795840000,9,9.0,30.0
1650795900000,9,71.0,70.0
1650795960000,9,89.0,90.0
1650796020000,9,102.0,114.0
1650796080000,9,104.0,101.0
1650796140000,9,99.0,103.0
1650796200000,9,107.0,102.0
1650796260000,9,108.0,108.0
1650796320000,9,94.0,98.0
1650796380000,9,91.0,89.0
1650796440000,9,16.0,0.0
1650796560000,9,7.0,24.0
1650796680000,9,31.0,26.0
1650796740000,9,108.0,104.0
1650796800000,9,91.0,82.0
1650796860000,9,78.0,87.0
1650796920000,9,78.0,80.0
1650796980000,9,101.0,100.0
1650797040000,9,105.0,108.0
1650797100000,9,106.0,103.0
1650797160000,9,94.0,96.0
1650797220000,9,88.0,91.0
1650797280000,9,72.0,62.0
1650797340000,9,80.0,59.0
1650797400000,9,25.0,28.0
1650797460000,9,58.0,34.0
1650797520000,9,94.0,98.0
1650797580000,9,76.0,76.0
1650797640000,9,0.0,11.0
1650797820000,9,0.0,12.0
1650798000000,9,13.0,77.0
1650798600000,9,0.0,11.0
1650798660000,9,0.0,11.0
1650798840000,9,0.0,13.0
1650801480000,9,0.0,13.0
1650802320000,9,0.0,26.0
1650802440000,9,0.0,13.0
1650803100000,9,0.0,13.0
1650803400000,9,0.0,10.0
1650804060000,9,0.0,26.0
1650804120000,9,0.0,2.0
1650804180000,9,0.0,18.0
1650804240000,9,0.0,12.0
1650804300000,9,17.0,20.0
1650804360000,9,77.0,80.0
1650804420000,9,108.0,107.0
1650804480000,9,112.0,105.0
1650804540000,9,110.0,116.0
1650804600000,9,22.0,16.0
1650804660000,9,107.0,110.0
1650804720000,9,115.0,122.0
1650804780000,9,115.0,121.0
1650804840000,9,107.0,115.0
1650804900000,9,115.0,115.0
1650804960000,9,115.0,137.0
1650805020000,9,11.0,20.0
1650805320000,9,82.0,81.0
1650805380000,9,113.0,138.0
1650805440000,9,111.0,118.0
1650805500000,9,119.0,116.0
1650805560000,9,30.0,26.0
1650805620000,9,65.0,68.0
1650805680000,9,0.0,31.0
1650807360000,9,9.0,0.0
1650807600000,9,21.0,0.0
1650807660000,9,0.0,9.0
1650809340000,9,8.0,0.0
1650810420000,9,6.0,0.0
1650810720000,9,7.0,0.0
1650833220000,9,0.0,10.0
1650841920000,9,0.0,14.0
1650842880000,9,15.0,52.0
1650842940000,9,53.0,53.0
1650843000000,9,102.0,96.0
1650843060000,9,116.0,113.0
1650843120000,9,112.0,113.0
1650843180000,9,112.0,114.0
1650843240000,9,108.0,111.0
1650843300000,9,53.0,51.0
1650843360000,9,103.0,101.0
1650843420000,9,45.0,43.0
1650843540000,9,51.0,74.0
1650843600000,9,0.0,77.0
1650843660000,9,0.0,56.0
1650843720000,9,0.0,23.0
1650844080000,9,0.0,19.0
1650844200000,9,0.0,31.0
1650844260000,9,0.0,13.0
1650844320000,9,0.0,43.0
1650844380000,9,0.0,33.0
1650844440000,9,0.0,12.0
1650844620000,9,0.0,39.0
1650844680000,9,0.0,49.0
1650844740000,9,0.0,3.0
1650844920000,9,0.0,26.0
1650845040000,9,0.0,33.0
1650846720000,9,0.0,39.0
1650847740000,9,0.0,11.0
1650847920000,9,0.0,46.0
1650848040000,9,0.0,12.0
1650848220000,9,0.0,26.0
1650848280000,9,0.0,42.0
1650848340000,9,0.0,22.0
1650848580000,9,0.0,10.0
1650849180000,9,0.0,22.0
1650849240000,9,0.0,35.0
1650849600000,9,0.0,12.0
1650849660000,9,0.0,60.0
1650850380000,9,0.0,10.0
1650851280000,9,0.0,26.0
1650851820000,9,32.0,14.0
1650851940000,9,56.0,42.0
1650852000000,9,24.0,30.0
1650852060000,9,27.0,15.0
1650852420000,9,0.0,10.0
1650852720000,9,61.0,62.0
1650852780000,9,44.0,56.0
1650852840000,9,1.0,4.0
1650852960000,9,0.0,19.0
1650853020000,9,0.0,13.0
1650853080000,9,0.0,10.0
1650853140000,9,0.0,38.0
1650853440000,9,0.0,10.0
1650854160000,9,0.0,44.0
1650854460000,9,0.0,14.0
1650854520000,9,33.0,61.0
1650854580000,9,0.0,14.0
1650854640000,9,42.0,60.0
1650857400000,9,72.0,90.0
1650857580000,9,8.0,20.0
1650858420000,9,72.0,73.0
1650858600000,9,44.0,64.0
1650858660000,9,22.0,27.0
1650858780000,9,27.0,37.0
1650858900000,9,55.0,41.0
1650858960000,9,6.0,0.0
1650859620000,9,39.0,35.0
1650859800000,9,31.0,37.0
1650860640000,9,6.0,12.0
1650860700000,9,36.0,34.0
1650860760000,9,0.0,15.0
1650861840000,9,31.0,27.0
1650861960000,9,46.0,69.0
1650862200000,9,0.0,28.0
1650863880000,9,0.0,28.0
1650864000000,9,0.0,16.0
1650864360000,9,0.0,38.0
1650864420000,9,0.0,13.0
1650864660000,9,0.0,11.0
1650864720000,9,0.0,29.0
1650864780000,9,0.0,17.0
1650865560000,9,34.0,14.0
1650865800000,9,39.0,53.0
1650865860000,9,11.0,15.0
1650866160000,9,0.0,42.0
1650866280000,9,0.0,24.0
1650866340000,9,0.0,21.0
1650866700000,9,0.0,17.0
1650866760000,9,0.0,11.0
1650866820000,9,0.0,23.0
1650866880000,9,0.0,41.0
1650867120000,9,0.0,12.0
1650867240000,9,0.0,13.0
1650867300000,9,0.0,35.0
1650867360000,9,0.0,11.0
1650867540000,9,0.0,16.0
1650867720000,9,0.0,21.0
1650867780000,9,0.0,10.0
1650867900000,9,0.0,97.0
1650867960000,9,0.0,21.0
1650868260000,9,0.0,12.0
1650868320000,9,0.0,16.0
1650868860000,9,0.0,16.0
1650868980000,9,0.0,25.0
1650869100000,9,0.0,15.0
1650869220000,9,0.0,11.0
1650869460000,9,0.0,36.0
1650869520000,9,0.0,24.0
1650869700000,9,0.0,13.0
1650869820000,9,0.0,15.0
1650870480000,9,0.0,18.0
1650870540000,9,0.0,22.0
1650870780000,9,24.0,21.0
1650870840000,9,38.0,21.0
1650870960000,9,34.0,58.0
1650872700000,9,0.0,14.0
1650872940000,9,0.0,28.0
1650873900000,9,0.0,41.0
1650874320000,9,0.0,16.0
1650875580000,9,0.0,24.0
1650875940000,9,0.0,10.0
1650876000000,9,58.0,67.0
1650876060000,9,0.0,12.0
1650876120000,9,0.0,10.0
1650876180000,9,0.0,10.0
1650876840000,9,0.0,15.0
1650876900000,9,0.0,11.0
1650876960000,9,0.0,15.0
1650877080000,9,0.0,61.0
1650877140000,9,0.0,62.0
1650877200000,9,40.0,62.0
1650877260000,9,26.0,22.0
1650877320000,9,58.0,62.0
1650877380000,9,87.0,84.0
1650877440000,9,118.0,121.0
1650877500000,9,121.0,119.0
1650877560000,9,113.0,115.0
1650877620000,9,118.0,116.0
1650877680000,9,116.0,115.0
1650877740000,9,101.0,102.0
1650877800000,9,113.0,113.0
1650877860000,9,115.0,115.0
1650877920000,9,115.0,116.0
1650877980000,9,37.0,50.0
1650878040000,9,9.0,14.0
1650878220000,9,19.0,0.0
1650878280000,9,7.0,30.0
1650878340000,9,25.0,25.0
1650878400000,9,0.0,12.0
1650878460000,9,37.0,44.0
1650878520000,9,71.0,83.0
1650878580000,9,105.0,100.0
1650878640000,9,113.0,119.0
1650878700000,9,106.0,105.0
1650878760000,9,115.0,114.0
1650878820000,9,37.0,31.0
1650878880000,9,42.0,41.0
1650878940000,9,8.0,0.0
1650879000000,9,12.0,28.0
1650879060000,9,13.0,29.0
1650879180000,9,13.0,0.0
1650879300000,9,0.0,15.0
1650880440000,9,7.0,12.0
1650882300000,9,0.0,64.0
1650882360000,9,0.0,55.0
1650882420000,9,0.0,10.0
1650882660000,9,0.0,12.0
1650882720000,9,0.0,31.0
1650882840000,9,0.0,42.0
1650882900000,9,0.0,12.0
1650882960000,9,0.0,10.0
1650883560000,9,0.0,27.0
1650883620000,9,28.0,28.0
1650883680000,9,50.0,74.0
1650883740000,9,97.0,108.0
1650883800000,9,111.0,110.0
1650883860000,9,113.0,109.0
1650883920000,9,112.0,113.0
1650883980000,9,12.0,16.0
1650884040000,9,108.0,104.0
1650884100000,9,51.0,68.0
1650884160000,9,23.0,52.0
1650884220000,9,0.0,23.0
1650884280000,9,0.0,21.0
