START,UTC,PHONE_STEP,WEARABLE_STEP
1635349920000,9,16.0,0.0
1635349980000,9,58.0,0.0
1635350040000,9,63.0,0.0
1635350100000,9,94.0,0.0
1635350160000,9,34.0,0.0
1635350280000,9,69.0,0.0
1635350340000,9,17.0,0.0
1635350460000,9,100.0,0.0
1635350520000,9,35.0,0.0
1635350580000,9,13.0,0.0
1635376260000,9,17.0,0.0
1635376320000,9,18.0,0.0
1635376620000,9,23.0,0.0
1635376860000,9,11.0,0.0
1635377220000,9,21.0,0.0
1635377460000,9,41.0,48.0
1635377520000,9,1.0,17.0
1635377640000,9,0.0,16.0
1635377700000,9,19.0,13.0
1635378300000,9,11.0,29.0
1635378360000,9,59.0,39.0
1635378420000,9,93.0,69.0
1635378480000,9,38.0,0.0
1635378540000,9,113.0,0.0
1635378600000,9,46.0,0.0
1635378720000,9,35.0,0.0
1635378780000,9,54.0,0.0
1635378840000,9,110.0,0.0
1635378900000,9,116.0,0.0
1635378960000,9,86.0,0.0
1635379020000,9,61.0,0.0
1635379080000,9,85.0,24.0
1635379140000,9,32.0,20.0
1635379200000,9,41.0,29.0
1635379320000,9,9.0,0.0
1635379380000,9,25.0,24.0
1635381360000,9,38.0,11.0
1635382440000,9,58.0,20.0
1635383940000,9,0.0,12.0
1635384000000,9,59.0,64.0
1635384180000,9,0.0,23.0
1635384240000,9,0.0,29.0
1635384300000,9,47.0,43.0
1635384360000,9,107.0,107.0
1635384420000,9,109.0,109.0
1635384480000,9,106.0,106.0
1635384540000,9,101.0,101.0
1635384600000,9,95.0,100.0
1635384660000,9,109.0,106.0
1635384720000,9,107.0,108.0
1635384780000,9,101.0,99.0
1635384840000,9,110.0,108.0
1635384900000,9,112.0,112.0
1635384960000,9,109.0,109.0
1635385020000,9,106.0,106.0
1635385080000,9,107.0,107.0
1635385140000,9,105.0,105.0
1635385200000,9,106.0,104.0
1635385260000,9,105.0,105.0
1635385320000,9,106.0,106.0
1635385380000,9,102.0,106.0
1635385440000,9,106.0,98.0
1635385500000,9,105.0,105.0
1635385560000,9,98.0,95.0
1635385620000,9,93.0,90.0
1635385680000,9,97.0,98.0
1635385740000,9,101.0,99.0
1635385800000,9,62.0,56.0
1635387360000,9,18.0,16.0
1635387420000,9,62.0,20.0
1635387480000,9,94.0,63.0
1635387540000,9,94.0,99.0
1635387600000,9,60.0,73.0
1635387660000,9,55.0,53.0
1635387720000,9,34.0,22.0
1635387780000,9,0.0,11.0
1635390000000,9,25.0,15.0
1635390060000,9,29.0,29.0
1635390120000,9,57.0,54.0
1635392280000,9,32.0,31.0
1635392340000,9,28.0,35.0
1635392400000,9,57.0,51.0
1635392460000,9,0.0,10.0
1635392520000,9,85.0,81.0
1635392580000,9,11.0,10.0
1635392640000,9,63.0,0.0
1635392700000,9,108.0,0.0
1635392760000,9,99.0,0.0
1635392820000,9,87.0,0.0
1635392880000,9,76.0,0.0
1635392940000,9,111.0,0.0
1635393060000,9,125.0,0.0
1635393120000,9,124.0,0.0
1635393180000,9,72.0,0.0
1635393240000,9,70.0,0.0
1635393300000,9,94.0,68.0
1635393840000,9,23.0,0.0
1635394380000,9,44.0,0.0
1635395700000,9,15.0,0.0
1635395760000,9,20.0,20.0
1635407880000,9,15.0,0.0
1635408240000,9,23.0,0.0
1635408360000,9,30.0,0.0
1635408420000,9,12.0,0.0
1635409800000,9,33.0,0.0
1635410400000,9,18.0,0.0
1635411120000,9,12.0,0.0
1635411180000,9,43.0,0.0
1635411240000,9,30.0,0.0
1635411300000,9,18.0,33.0
1635411360000,9,110.0,104.0
1635411420000,9,112.0,113.0
1635411480000,9,112.0,113.0
1635411540000,9,114.0,116.0
1635411600000,9,117.0,115.0
1635411660000,9,117.0,116.0
1635411720000,9,116.0,116.0
1635411780000,9,115.0,116.0
1635411840000,9,116.0,115.0
1635411900000,9,114.0,115.0
1635411960000,9,115.0,115.0
1635412020000,9,127.0,130.0
1635412080000,9,115.0,115.0
1635412140000,9,114.0,108.0
1635412200000,9,113.0,113.0
1635412260000,9,115.0,113.0
1635412320000,9,115.0,112.0
1635412380000,9,113.0,111.0
1635412440000,9,114.0,113.0
1635412500000,9,59.0,61.0
1635412560000,9,28.0,29.0
1635412620000,9,113.0,113.0
1635412680000,9,115.0,114.0
1635412740000,9,110.0,112.0
1635412800000,9,111.0,109.0
1635412860000,9,115.0,116.0
1635412920000,9,116.0,116.0
1635412980000,9,113.0,113.0
1635413040000,9,112.0,111.0
1635413100000,9,112.0,112.0
1635413160000,9,111.0,104.0
1635413220000,9,110.0,113.0
1635413280000,9,107.0,101.0
1635413340000,9,109.0,106.0
1635413400000,9,111.0,111.0
1635413460000,9,106.0,103.0
1635413520000,9,107.0,97.0
