START,UTC,PHONE_STEP,WEARABLE_STEP
1636194600000,9,15.0,0.0
1636244040000,9,22.0,0.0
1636244100000,9,74.0,0.0
1636244160000,9,111.0,0.0
1636244220000,9,108.0,0.0
1636244280000,9,35.0,0.0
1636244340000,9,7.0,0.0
1636244580000,9,6.0,0.0
1636244640000,9,7.0,0.0
1636244820000,9,0.0,14.0
1636245060000,9,94.0,83.0
1636245120000,9,80.0,93.0
1636245240000,9,7.0,0.0
1636245300000,9,7.0,0.0
1636247160000,9,33.0,16.0
1636247220000,9,108.0,109.0
1636247280000,9,69.0,71.0
1636247340000,9,66.0,45.0
1636247400000,9,108.0,105.0
1636247460000,9,107.0,106.0
1636247520000,9,92.0,95.0
1636247580000,9,57.0,47.0
1636247640000,9,31.0,30.0
1636247700000,9,20.0,19.0
1636247760000,9,73.0,66.0
1636247880000,9,13.0,11.0
1636248120000,9,12.0,15.0
1636248420000,9,7.0,0.0
1636248480000,9,101.0,100.0
1636248540000,9,0.0,5.0
1636248960000,9,7.0,0.0
1636258740000,9,77.0,72.0
1636258800000,9,17.0,13.0
1636258860000,9,65.0,59.0
1636258920000,9,40.0,47.0
1636258980000,9,72.0,71.0
1636259040000,9,35.0,34.0
1636259100000,9,80.0,77.0
1636259160000,9,103.0,103.0
1636259220000,9,23.0,30.0
1636259280000,9,65.0,55.0
1636259340000,9,110.0,118.0
1636259400000,9,105.0,109.0
1636259460000,9,110.0,112.0
1636259520000,9,110.0,107.0
1636259580000,9,104.0,111.0
1636259640000,9,102.0,102.0
1636259700000,9,110.0,108.0
1636259760000,9,104.0,104.0
1636259820000,9,98.0,104.0
1636259880000,9,111.0,108.0
1636259940000,9,49.0,59.0
1636260000000,9,24.0,11.0
1636260300000,9,9.0,0.0
1636260360000,9,7.0,0.0
1636260540000,9,13.0,0.0
1636260720000,9,12.0,12.0
1636260780000,9,3.0,5.0
1636260960000,9,16.0,0.0
1636261020000,9,2.0,0.0
1636261080000,9,65.0,55.0
1636261140000,9,108.0,102.0
1636261200000,9,123.0,123.0
1636261260000,9,111.0,109.0
1636261320000,9,114.0,111.0
1636261380000,9,90.0,95.0
1636261440000,9,91.0,89.0
1636261500000,9,49.0,54.0
1636261560000,9,60.0,57.0
1636261620000,9,0.0,10.0
1636261680000,9,22.0,25.0
1636261740000,9,38.0,27.0
1636261800000,9,9.0,11.0
1636261860000,9,68.0,68.0
1636261920000,9,109.0,110.0
1636261980000,9,116.0,121.0
1636262040000,9,124.0,120.0
1636262100000,9,113.0,120.0
1636262160000,9,61.0,68.0
1636262340000,9,0.0,13.0
1636262400000,9,7.0,0.0
1636262460000,9,7.0,0.0
1636264440000,9,80.0,82.0
1636264500000,9,92.0,94.0
1636264980000,9,15.0,0.0
1636265040000,9,18.0,0.0
1636265160000,9,0.0,10.0
1636265400000,9,51.0,44.0
1636265460000,9,79.0,82.0
1636265520000,9,22.0,15.0
1636265580000,9,23.0,29.0
1636265640000,9,16.0,13.0
1636265700000,9,38.0,0.0
1636265760000,9,13.0,0.0
1636265820000,9,11.0,0.0
1636265880000,9,50.0,39.0
1636265940000,9,48.0,59.0
1636266000000,9,80.0,80.0
1636266060000,9,117.0,114.0
1636266120000,9,30.0,36.0
1636266240000,9,0.0,20.0
1636266300000,9,0.0,13.0
1636266420000,9,0.0,14.0
1636266480000,9,80.0,67.0
1636266540000,9,8.0,11.0
1636267440000,9,31.0,25.0
1636267500000,9,33.0,25.0
1636267560000,9,36.0,34.0
1636272420000,9,98.0,91.0
1636272480000,9,56.0,62.0
1636272540000,9,9.0,9.0
1636273380000,9,42.0,31.0
1636273440000,9,106.0,108.0
1636273500000,9,20.0,19.0
1636273860000,9,24.0,13.0
1636273920000,9,90.0,99.0
1636273980000,9,59.0,43.0
1636274520000,9,31.0,25.0
1636274760000,9,15.0,35.0
1636277220000,9,30.0,0.0
1636277880000,9,18.0,24.0
1636278480000,9,40.0,28.0
1636278540000,9,109.0,107.0
1636278600000,9,29.0,33.0
1636278660000,9,15.0,0.0
1636278720000,9,28.0,14.0
1636278780000,9,114.0,111.0
1636278840000,9,67.0,64.0
1636278900000,9,9.0,15.0
1636279080000,9,44.0,34.0
1636279140000,9,29.0,50.0
1636281060000,9,20.0,32.0
1636281120000,9,29.0,25.0
1636281180000,9,99.0,98.0
1636281240000,9,9.0,0.0
1636281300000,9,15.0,0.0
1636281360000,9,114.0,118.0
1636281420000,9,0.0,1.0
1636281480000,9,46.0,47.0
1636281540000,9,103.0,103.0
1636281600000,9,99.0,102.0
1636281660000,9,106.0,95.0
1636281720000,9,105.0,109.0
1636281780000,9,78.0,76.0
1636281840000,9,12.0,13.0
1636281900000,9,49.0,51.0
1636281960000,9,82.0,78.0
1636282020000,9,107.0,105.0
1636282080000,9,112.0,110.0
1636282140000,9,84.0,79.0
1636282200000,9,2.0,0.0
1636282320000,9,0.0,11.0
1636285920000,9,8.0,0.0
1636289940000,9,9.0,0.0
1636292220000,9,16.0,0.0
1636337640000,9,107.0,93.0
1636337700000,9,109.0,103.0
1636337760000,9,42.0,43.0
1636338420000,9,20.0,0.0
1636338480000,9,77.0,79.0
1636338600000,9,42.0,33.0
1636338660000,9,45.0,49.0
1636338720000,9,60.0,48.0
1636338840000,9,20.0,0.0
1636338960000,9,10.0,0.0
1636339020000,9,7.0,0.0
1636339080000,9,16.0,0.0
1636341060000,9,19.0,0.0
1636341180000,9,8.0,0.0
1636341240000,9,28.0,15.0
1636341300000,9,6.0,0.0
1636342320000,9,9.0,13.0
1636342500000,9,14.0,10.0
1636342560000,9,35.0,24.0
1636342620000,9,74.0,77.0
1636342740000,9,15.0,10.0
1636342800000,9,109.0,108.0
1636342860000,9,11.0,5.0
1636342980000,9,7.0,0.0
1636343160000,9,23.0,0.0
1636343340000,9,15.0,0.0
1636343400000,9,0.0,12.0
1636343640000,9,14.0,0.0
1636344000000,9,59.0,40.0
1636344060000,9,103.0,103.0
1636344120000,9,105.0,104.0
1636344180000,9,103.0,104.0
1636344240000,9,47.0,38.0
1636370220000,9,17.0,0.0
1636380420000,9,10.0,0.0
1636380480000,9,1.0,0.0
1636386000000,9,7.0,0.0
1636389120000,9,17.0,0.0
1636431540000,9,21.0,0.0
1636433220000,9,30.0,0.0
1636448160000,9,18.0,0.0
1636472280000,9,13.0,0.0
1636504320000,9,19.0,0.0
1636504800000,9,15.0,0.0
1636510200000,9,98.0,0.0
1636510260000,9,127.0,0.0
1636510320000,9,69.0,0.0
1636510440000,9,93.0,0.0
1636510500000,9,121.0,0.0
1636510560000,9,65.0,0.0
1636510620000,9,7.0,0.0
1636510740000,9,8.0,0.0
1636538100000,9,16.0,0.0
1636543440000,9,13.0,0.0
1636549440000,9,14.0,0.0
1636549560000,9,19.0,0.0
1636549620000,9,12.0,0.0
1636560960000,9,13.0,0.0
1636561080000,9,31.0,0.0
1636599180000,9,8.0,0.0
1636599300000,9,70.0,0.0
1636599360000,9,30.0,0.0
1636599420000,9,58.0,0.0
1636600140000,9,8.0,0.0
1636600260000,9,9.0,0.0
1636627740000,9,17.0,0.0
1636649160000,9,12.0,0.0
1636655700000,9,8.0,0.0
1636655880000,9,7.0,0.0
1636726020000,9,16.0,0.0
1636782900000,9,15.0,0.0
1636782960000,9,5.0,0.0
1636784820000,9,15.0,0.0
1636784880000,9,59.0,0.0
1636784940000,9,22.0,0.0
1636785000000,9,84.0,0.0
1636785060000,9,56.0,0.0
1636797660000,9,115.0,118.0
1636797720000,9,107.0,107.0
1636797780000,9,51.0,50.0
1636798020000,9,19.0,0.0
1636798320000,9,0.0,24.0
1636798560000,9,42.0,45.0
1636798620000,9,70.0,57.0
1636798680000,9,71.0,69.0
1636798740000,9,100.0,96.0
1636798800000,9,80.0,79.0
1636798860000,9,21.0,20.0
1636801560000,9,8.0,0.0
1636804080000,9,31.0,12.0
1636804140000,9,48.0,13.0
1636804200000,9,69.0,60.0
1636804260000,9,40.0,44.0
