START,UTC,PHONE_STEP,WEARABLE_STEP
1636645740000,9,0.0,24.0
1636669920000,9,19.0,0.0
1636670880000,9,38.0,35.0
1636670940000,9,123.0,121.0
1636671000000,9,56.0,56.0
1636671060000,9,43.0,41.0
1636671180000,9,27.0,29.0
1636671240000,9,0.0,13.0
1636671300000,9,0.0,13.0
1636671660000,9,91.0,89.0
1636671720000,9,100.0,100.0
1636671780000,9,68.0,70.0
1636671840000,9,63.0,85.0
1636671900000,9,32.0,53.0
1636671960000,9,24.0,34.0
1636672200000,9,34.0,30.0
1636672260000,9,45.0,33.0
1636672320000,9,3.0,17.0
1636672380000,9,0.0,10.0
1636676580000,9,30.0,27.0
1636677540000,9,26.0,16.0
1636677600000,9,37.0,32.0
1636677660000,9,8.0,0.0
1636677720000,9,25.0,14.0
1636678980000,9,0.0,10.0
1636684260000,9,0.0,21.0
1636687080000,9,0.0,12.0
1636689600000,9,22.0,0.0
1636689660000,9,74.0,97.0
1636689720000,9,115.0,103.0
1636689780000,9,117.0,117.0
1636689840000,9,50.0,55.0
1636689900000,9,10.0,0.0
1636689960000,9,2.0,30.0
1636690560000,9,34.0,29.0
1636690620000,9,63.0,21.0
1636690680000,9,104.0,83.0
1636690740000,9,98.0,68.0
1636690800000,9,90.0,55.0
1636690860000,9,41.0,41.0
1636690920000,9,30.0,11.0
1636690980000,9,24.0,0.0
1636691040000,9,3.0,0.0
1636691160000,9,12.0,0.0
1636691220000,9,11.0,51.0
1636691340000,9,10.0,0.0
1636693440000,9,24.0,35.0
1636693680000,9,0.0,10.0
1636693740000,9,59.0,24.0
1636693800000,9,6.0,37.0
1636696920000,9,0.0,77.0
1636696980000,9,0.0,11.0
1636697040000,9,0.0,15.0
1636697220000,9,0.0,20.0
1636697280000,9,0.0,12.0
1636701180000,9,0.0,10.0
1636702140000,9,0.0,22.0
1636703400000,9,0.0,26.0
1636703460000,9,0.0,13.0
1636703520000,9,0.0,13.0
1636705320000,9,0.0,33.0
1636705380000,9,0.0,20.0
