START,UTC,PHONE_STEP,WEARABLE_STEP
1636816560000,9,15.0,0.0
1636846980000,9,47.0,0.0
1636848180000,9,28.0,25.0
1636848240000,9,96.0,80.0
1636848300000,9,47.0,43.0
1636849380000,9,16.0,0.0
1636849680000,9,65.0,46.0
1636850520000,9,0.0,48.0
1636850580000,9,0.0,37.0
1636850700000,9,0.0,21.0
1636850760000,9,0.0,14.0
1636850820000,9,0.0,106.0
1636850880000,9,0.0,2.0
1636851060000,9,21.0,0.0
1636851120000,9,63.0,77.0
1636851180000,9,41.0,29.0
1636851240000,9,103.0,104.0
1636851300000,9,38.0,38.0
1636851360000,9,45.0,27.0
1636851420000,9,101.0,111.0
1636851480000,9,92.0,84.0
1636851540000,9,89.0,100.0
1636851600000,9,76.0,81.0
1636851660000,9,73.0,74.0
1636851720000,9,114.0,110.0
1636851780000,9,69.0,72.0
1636851840000,9,95.0,95.0
1636851900000,9,18.0,12.0
1636852080000,9,15.0,30.0
1636852140000,9,24.0,13.0
1636852200000,9,14.0,16.0
1636852260000,9,46.0,24.0
1636855320000,9,56.0,26.0
1636855380000,9,19.0,31.0
1636855440000,9,30.0,0.0
1636855500000,9,0.0,23.0
1636855560000,9,0.0,21.0
1636855620000,9,17.0,16.0
1636855680000,9,21.0,63.0
1636855740000,9,83.0,91.0
1636855800000,9,76.0,81.0
1636855860000,9,99.0,97.0
1636855920000,9,96.0,93.0
1636855980000,9,85.0,92.0
1636856040000,9,95.0,96.0
1636856100000,9,104.0,96.0
1636856160000,9,98.0,98.0
1636856220000,9,71.0,71.0
1636856280000,9,7.0,0.0
1636856340000,9,0.0,24.0
1636856400000,9,94.0,34.0
1636856460000,9,53.0,24.0
1636856520000,9,0.0,39.0
1636856580000,9,0.0,68.0
1636856640000,9,0.0,5.0
1636857840000,9,0.0,25.0
1636858740000,9,0.0,19.0
1636858800000,9,0.0,20.0
1636858920000,9,14.0,18.0
1636858980000,9,15.0,15.0
1636859040000,9,2.0,0.0
1636859100000,9,0.0,13.0
1636859520000,9,12.0,21.0
1636859700000,9,0.0,13.0
1636860060000,9,0.0,16.0
1636861200000,9,33.0,11.0
1636861260000,9,41.0,53.0
1636861380000,9,21.0,20.0
1636861440000,9,62.0,51.0
1636861500000,9,14.0,10.0
1636861560000,9,12.0,0.0
1636861620000,9,13.0,8.0
1636861680000,9,0.0,10.0
1636861740000,9,43.0,40.0
1636861860000,9,19.0,0.0
1636862400000,9,0.0,11.0
1636862460000,9,32.0,34.0
1636862580000,9,0.0,13.0
1636862640000,9,16.0,41.0
1636862700000,9,2.0,17.0
1636862760000,9,11.0,42.0
1636862820000,9,10.0,11.0
1636863060000,9,0.0,13.0
1636863300000,9,0.0,18.0
1636863360000,9,0.0,19.0
1636863420000,9,0.0,28.0
1636863540000,9,10.0,0.0
1636863780000,9,0.0,13.0
1636863900000,9,0.0,22.0
1636864080000,9,50.0,21.0
1636864140000,9,15.0,26.0
1636864200000,9,75.0,61.0
1636864260000,9,0.0,52.0
1636864320000,9,0.0,14.0
1636864380000,9,0.0,28.0
1636864440000,9,0.0,11.0
1636864500000,9,67.0,44.0
1636864560000,9,10.0,8.0
1636864620000,9,28.0,11.0
1636864680000,9,48.0,84.0
1636864860000,9,0.0,10.0
1636864920000,9,0.0,17.0
1636864980000,9,0.0,17.0
1636865040000,9,0.0,8.0
1636865100000,9,0.0,28.0
1636865340000,9,0.0,17.0
1636865400000,9,13.0,0.0
1636865520000,9,50.0,71.0
1636865580000,9,35.0,58.0
1636865640000,9,52.0,68.0
1636865760000,9,52.0,70.0
1636865820000,9,8.0,49.0
1636865880000,9,47.0,38.0
1636866060000,9,24.0,18.0
1636866120000,9,34.0,77.0
1636866180000,9,7.0,38.0
1636866240000,9,5.0,29.0
1636866300000,9,11.0,0.0
1636866360000,9,32.0,64.0
1636866420000,9,19.0,41.0
1636866480000,9,48.0,47.0
1636866540000,9,3.0,18.0
1636866720000,9,0.0,26.0
1636866900000,9,0.0,10.0
1636868460000,9,99.0,63.0
1636868520000,9,58.0,48.0
1636868580000,9,51.0,37.0
1636868640000,9,27.0,10.0
1636868700000,9,0.0,23.0
1636868760000,9,57.0,26.0
1636868820000,9,88.0,81.0
1636868880000,9,66.0,60.0
1636868940000,9,34.0,40.0
1636869000000,9,0.0,13.0
1636869120000,9,0.0,22.0
1636869180000,9,17.0,29.0
1636869240000,9,0.0,10.0
1636869420000,9,0.0,33.0
1636869480000,9,63.0,34.0
1636869540000,9,26.0,54.0
1636869600000,9,69.0,58.0
1636869660000,9,76.0,82.0
1636869720000,9,49.0,37.0
1636869780000,9,16.0,45.0
1636870320000,9,0.0,47.0
1636870380000,9,0.0,15.0
1636870440000,9,0.0,16.0
1636870500000,9,0.0,26.0
1636870560000,9,0.0,88.0
1636870620000,9,0.0,21.0
1636870680000,9,0.0,62.0
1636870800000,9,0.0,32.0
1636871100000,9,20.0,29.0
1636872480000,9,0.0,19.0
1636872600000,9,16.0,18.0
1636872780000,9,16.0,14.0
1636872840000,9,8.0,10.0
1636872900000,9,0.0,10.0
1636872960000,9,0.0,16.0
1636873020000,9,9.0,23.0
1636873200000,9,9.0,28.0
1636873260000,9,23.0,29.0
1636873320000,9,17.0,28.0
1636873380000,9,65.0,78.0
1636875480000,9,10.0,0.0
1636875540000,9,16.0,10.0
1636875600000,9,11.0,10.0
1636875660000,9,0.0,22.0
1636875720000,9,0.0,13.0
1636875780000,9,0.0,15.0
1636877580000,9,0.0,10.0
1636878180000,9,0.0,13.0
1636878240000,9,7.0,0.0
1636878300000,9,11.0,67.0
1636878420000,9,13.0,0.0
1636878480000,9,36.0,31.0
1636878540000,9,102.0,89.0
1636878600000,9,14.0,20.0
1636878660000,9,0.0,13.0
1636879560000,9,18.0,0.0
1636881000000,9,38.0,0.0
1636881060000,9,21.0,0.0
1636881360000,9,20.0,0.0
1636881600000,9,0.0,18.0
1636881960000,9,25.0,0.0
1636882140000,9,15.0,0.0
1636882320000,9,23.0,0.0
1636882440000,9,16.0,0.0
1636882500000,9,5.0,0.0
1636883340000,9,0.0,10.0
1636883940000,9,17.0,0.0
1636884300000,9,30.0,20.0
1636884360000,9,30.0,47.0
1636884420000,9,25.0,33.0
1636884480000,9,0.0,30.0
1636884540000,9,8.0,0.0
1636884600000,9,46.0,35.0
1636884660000,9,60.0,32.0
1636884720000,9,8.0,0.0
1636884780000,9,0.0,23.0
1636884840000,9,0.0,22.0
1636935540000,9,110.0,0.0
1636935600000,9,110.0,0.0
1636935660000,9,114.0,0.0
1636935720000,9,114.0,0.0
1636935780000,9,113.0,0.0
1636935840000,9,37.0,0.0
1636935900000,9,31.0,0.0
1636936800000,9,8.0,0.0
1636936920000,9,49.0,0.0
1636940100000,9,38.0,0.0
1636940160000,9,32.0,0.0
1636940220000,9,9.0,0.0
1636940340000,9,13.0,0.0
1636940580000,9,28.0,0.0
1636940820000,9,29.0,0.0
1636941000000,9,14.0,0.0
1636941180000,9,6.0,0.0
1636941360000,9,23.0,0.0
1636941480000,9,24.0,0.0
1636942260000,9,26.0,0.0
1636942320000,9,3.0,0.0
1636942500000,9,17.0,0.0
1636942560000,9,6.0,0.0
1636942800000,9,8.0,0.0
1636942860000,9,16.0,0.0
1636943040000,9,29.0,0.0
1636943100000,9,4.0,0.0
1636943160000,9,29.0,0.0
1636943280000,9,10.0,0.0
1636943340000,9,8.0,0.0
1636944000000,9,35.0,0.0
1636944060000,9,16.0,0.0
1636944120000,9,29.0,0.0
1636946580000,9,27.0,0.0
1636946640000,9,9.0,0.0
1636946700000,9,20.0,0.0
1636947000000,9,14.0,0.0
1636947360000,9,24.0,0.0
1636947420000,9,16.0,0.0
1636947540000,9,39.0,0.0
1636947600000,9,82.0,0.0
1636947660000,9,106.0,0.0
1636947720000,9,106.0,0.0
1636947780000,9,28.0,0.0
1636947840000,9,7.0,0.0
1636947900000,9,15.0,0.0
1636948140000,9,15.0,0.0
1636948320000,9,108.0,0.0
1636948380000,9,107.0,0.0
1636948440000,9,82.0,0.0
1636948500000,9,27.0,0.0
1636951860000,9,37.0,0.0
1636951980000,9,45.0,0.0
1636952040000,9,1.0,0.0
1636956360000,9,9.0,0.0
1636956720000,9,8.0,0.0
1636956780000,9,16.0,0.0
1636956840000,9,27.0,0.0
1636956900000,9,19.0,0.0
1636956960000,9,17.0,0.0
1636957020000,9,7.0,0.0
1636957680000,9,23.0,0.0
1636957740000,9,14.0,0.0
1636958820000,9,42.0,0.0
1636958880000,9,93.0,0.0
1636958940000,9,3.0,0.0
1636959300000,9,28.0,0.0
1636959480000,9,8.0,0.0
1636959660000,9,8.0,0.0
1636961520000,9,24.0,0.0
1636961580000,9,36.0,0.0
1636961700000,9,97.0,0.0
1636961760000,9,103.0,0.0
1636961820000,9,42.0,0.0
1636961940000,9,57.0,0.0
1636962000000,9,107.0,0.0
1636962060000,9,73.0,0.0
1636962180000,9,22.0,0.0
1636962240000,9,30.0,0.0
1636967100000,9,13.0,0.0
1636967160000,9,44.0,0.0
1636967280000,9,27.0,0.0
1636967400000,9,8.0,0.0
1636967580000,9,42.0,0.0
1636967640000,9,26.0,0.0
1636967700000,9,14.0,0.0
1636967760000,9,28.0,0.0
1636967820000,9,27.0,0.0
1636967940000,9,39.0,0.0
1636968600000,9,7.0,0.0
1636969200000,9,33.0,0.0
1636969380000,9,20.0,0.0
1636969620000,9,35.0,0.0
1636969680000,9,10.0,0.0
1636969740000,9,16.0,0.0
1636969800000,9,35.0,0.0
1636969860000,9,29.0,0.0
1636969920000,9,20.0,0.0
1636969980000,9,106.0,0.0
1636970040000,9,104.0,0.0
1636970100000,9,96.0,0.0
1636970160000,9,90.0,0.0
1636970220000,9,59.0,0.0
1636970280000,9,65.0,0.0
1636970340000,9,50.0,0.0
1636970400000,9,45.0,0.0
1636970460000,9,66.0,0.0
1636970700000,9,7.0,0.0
1636970820000,9,9.0,0.0
1636971060000,9,47.0,0.0
1636971120000,9,10.0,0.0
1636971180000,9,30.0,0.0
1636971240000,9,8.0,0.0
1636972020000,9,7.0,0.0
1636972260000,9,42.0,0.0
1636972320000,9,32.0,0.0
1636972380000,9,3.0,0.0
1636972620000,9,27.0,0.0
1636972680000,9,1.0,0.0
1636972920000,9,11.0,0.0
1636972980000,9,12.0,0.0
