START,UTC,PHONE_STEP,WEARABLE_STEP
1634569320000,9,0.0,21.0
1634596980000,9,36.0,0.0
1634597040000,9,30.0,0.0
1634598120000,9,16.0,0.0
1634598360000,9,38.0,0.0
1634604060000,9,9.0,0.0
1634604120000,9,48.0,0.0
1634604180000,9,10.0,0.0
1634605020000,9,49.0,0.0
1634605080000,9,13.0,0.0
1634606340000,9,0.0,11.0
1634606400000,9,0.0,15.0
1634608920000,9,0.0,11.0
1634609280000,9,51.0,16.0
1634609340000,9,38.0,30.0
1634609400000,9,7.0,0.0
1634609460000,9,91.0,74.0
1634609520000,9,105.0,102.0
1634609580000,9,120.0,120.0
1634609640000,9,118.0,118.0
1634609700000,9,110.0,110.0
1634609760000,9,52.0,34.0
1634609820000,9,78.0,100.0
1634610000000,9,7.0,0.0
1634610060000,9,0.0,12.0
1634612460000,9,37.0,0.0
1634612520000,9,12.0,12.0
1634612580000,9,10.0,10.0
1634618460000,9,40.0,10.0
1634619000000,9,42.0,28.0
1634619060000,9,73.0,73.0
1634619120000,9,65.0,69.0
1634619300000,9,59.0,38.0
1634619360000,9,97.0,99.0
1634619420000,9,87.0,89.0
1634619480000,9,83.0,87.0
1634619540000,9,95.0,95.0
1634619600000,9,85.0,81.0
1634619660000,9,15.0,25.0
1634619840000,9,0.0,22.0
1634619900000,9,0.0,23.0
1634619960000,9,0.0,10.0
1634620020000,9,0.0,13.0
1634620080000,9,0.0,22.0
1634620140000,9,0.0,12.0
1634620320000,9,31.0,33.0
1634620380000,9,76.0,89.0
1634620440000,9,123.0,122.0
1634620500000,9,119.0,118.0
1634620560000,9,109.0,110.0
1634620620000,9,113.0,112.0
1634620680000,9,125.0,125.0
1634620740000,9,65.0,54.0
1634620800000,9,118.0,115.0
1634620860000,9,60.0,64.0
1634620920000,9,12.0,0.0
1634620980000,9,36.0,31.0
1634621040000,9,13.0,13.0
1634621160000,9,15.0,0.0
1634624880000,9,96.0,83.0
1634624940000,9,98.0,104.0
1634625000000,9,97.0,99.0
1634625060000,9,103.0,102.0
1634625120000,9,103.0,102.0
1634625180000,9,97.0,76.0
1634625240000,9,101.0,96.0
1634625300000,9,3.0,25.0
1634625360000,9,63.0,61.0
1634625420000,9,83.0,84.0
1634625480000,9,51.0,52.0
1634625900000,9,7.0,0.0
1634625960000,9,15.0,0.0
1634626020000,9,18.0,0.0
1634628240000,9,96.0,88.0
1634628300000,9,55.0,56.0
1634628360000,9,49.0,44.0
1634628420000,9,61.0,20.0
1634628480000,9,44.0,22.0
1634628540000,9,32.0,30.0
1634628600000,9,27.0,26.0
1634628720000,9,17.0,7.0
1634628780000,9,16.0,12.0
1634629320000,9,58.0,18.0
1634629380000,9,114.0,118.0
1634629440000,9,13.0,12.0
1634629500000,9,65.0,52.0
1634631060000,9,12.0,0.0
1634631120000,9,109.0,99.0
1634631180000,9,122.0,125.0
1634631240000,9,112.0,110.0
1634631300000,9,109.0,110.0
1634631360000,9,41.0,48.0
1634631420000,9,69.0,50.0
1634631480000,9,120.0,120.0
1634631540000,9,117.0,118.0
1634631600000,9,118.0,117.0
1634631660000,9,113.0,116.0
1634631720000,9,9.0,3.0
1634631840000,9,42.0,48.0
1634631900000,9,23.0,42.0
1634632140000,9,44.0,40.0
1634632200000,9,49.0,51.0
1634633160000,9,0.0,10.0
1634633280000,9,0.0,10.0
1634633340000,9,0.0,11.0
1634633400000,9,45.0,29.0
1634633460000,9,117.0,126.0
1634633520000,9,105.0,104.0
1634633580000,9,112.0,110.0
1634633640000,9,109.0,111.0
1634633700000,9,109.0,111.0
1634633760000,9,79.0,76.0
1634633820000,9,91.0,85.0
1634633880000,9,115.0,114.0
1634633940000,9,114.0,114.0
1634634000000,9,59.0,71.0
1634634720000,9,42.0,13.0
1634634780000,9,112.0,113.0
1634634840000,9,112.0,115.0
1634634900000,9,84.0,87.0
1634635020000,9,0.0,47.0
1634635080000,9,0.0,16.0
1634635140000,9,0.0,10.0
1634635200000,9,0.0,11.0
1634636400000,9,0.0,29.0
1634636460000,9,0.0,14.0
1634636640000,9,0.0,10.0
1634636700000,9,0.0,13.0
1634638260000,9,0.0,11.0
1634638500000,9,17.0,36.0
1634638560000,9,0.0,5.0
1634638800000,9,41.0,12.0
1634663760000,9,6.0,0.0
1634710260000,9,14.0,0.0
1634711520000,9,7.0,0.0
1634713800000,9,12.0,0.0
1634716500000,9,16.0,0.0
1634721420000,9,26.0,0.0
1634721720000,9,11.0,0.0
1634721840000,9,9.0,0.0
1634723820000,9,7.0,0.0
1634734320000,9,0.0,10.0
1634735820000,9,0.0,13.0
1634736000000,9,0.0,16.0
1634736060000,9,0.0,28.0
1634736120000,9,0.0,12.0
1634768160000,9,12.0,0.0
1634769060000,9,13.0,10.0
1634769240000,9,0.0,13.0
1634769360000,9,0.0,21.0
1634769600000,9,25.0,30.0
1634769660000,9,0.0,14.0
1634769720000,9,22.0,29.0
1634769780000,9,130.0,127.0
1634769840000,9,126.0,129.0
1634769900000,9,141.0,157.0
1634769960000,9,47.0,48.0
1634770020000,9,23.0,23.0
1634770080000,9,124.0,128.0
1634770140000,9,40.0,35.0
1634770200000,9,32.0,10.0
