PA_TYPE,BOTH,PHONE,WEARABLE
MPA,0.6097908711178732,0.2229821937517621,0.16722693513036474
MVPA,0.7660896624266902,0.13471039267605223,0.09919994489725757
VPA,0.5558795108208284,0.007434168442287655,0.43668632073688396
